课程编号,课程名,校区,老师,分类,类型,开课学院,学分
B3J013390,材料成型原理及工艺(全汉语),学院路校区,周铁涛|吴国清,一般专业类,选修,材料科学与工程学院,2
B3J014510,分析化学(全汉语),学院路校区,李松梅,一般专业类,选修,材料科学与工程学院,2
B3J014710,结构化学（B）(全汉语),学院路校区,杨 光,一般专业类,选修,材料科学与工程学院,2
B3J014720,界面化学(全汉语),学院路校区,王小群,一般专业类,选修,材料科学与工程学院,2
B3J033010,自动化专业导论(全汉语),学院路校区,霍 伟|王少萍|袁海文|任 章|秦世引|段海滨,一般专业类,选修,自动化科学与电气工程学院,1
B3J033270,传感器与测试技术基础(全汉语),学院路校区,闫 蓓,一般专业类,选修,自动化科学与电气工程学院,2
B3J033350,机电工程创新设计导论(全汉语),学院路校区,焦宗夏|尚耀星,一般专业类,选修,自动化科学与电气工程学院,1
B3J033530,计算机网络与通讯(全汉语),学院路校区,段海滨|马耀飞,一般专业类,选修,自动化科学与电气工程学院,1.5
B3J033550,虚拟现实技术(全汉语),学院路校区,赵永嘉,一般专业类,选修,自动化科学与电气工程学院,1.5
B3J033570,应用离散数学(全汉语),学院路校区,郑 征,一般专业类,选修,自动化科学与电气工程学院,2
B3J033810,信息理论与技术基础(全汉语),学院路校区,陶 飞,一般专业类,选修,自动化科学与电气工程学院,2
B3J043940,计算机软件技术基础(全汉语),学院路校区,岳 明,一般专业类,选修,能源与动力工程学院,2
B3J05011A,航空发动机原理及应用(全汉语),学院路校区,周尧明,一般专业类,选修,航空科学与工程学院,1.5
B3J05011A,航空发动机原理及应用(全汉语),学院路校区,祝 明,一般专业类,选修,航空科学与工程学院,1.5
B3J05011A,航空发动机原理及应用(全汉语),学院路校区,陶国权,一般专业类,选修,航空科学与工程学院,1.5
B3J05014A,飞行器适航基础(全汉语),学院路校区,孙康文,一般专业类,选修,航空科学与工程学院,1
B3J05020A,航空工程大型通用软件应用（1）(全汉语),学院路校区,吴永康|焦起祥|周 越|邹 辉|罗明强|胡天翔|姜振华,一般专业类,选修,航空科学与工程学院,1.5
B3J05020A,航空工程大型通用软件应用（1）(全汉语),学院路校区,吴永康|焦起祥|周 越|邹 辉|罗明强|胡天翔|姜振华,一般专业类,选修,航空科学与工程学院,1.5
B3J05020A,航空工程大型通用软件应用（1）(全汉语),学院路校区,吴永康|焦起祥|周 越|邹 辉|罗明强|胡天翔|姜振华,一般专业类,选修,航空科学与工程学院,1.5
B3J05020A,航空工程大型通用软件应用（1）(全汉语),学院路校区,吴永康|焦起祥|周 越|邹 辉|罗明强|胡天翔|姜振华,一般专业类,选修,航空科学与工程学院,1.5
B3J05020A,航空工程大型通用软件应用（1）(全汉语),学院路校区,吴永康|焦起祥|周 越|邹 辉|罗明强|胡天翔|姜振华,一般专业类,选修,航空科学与工程学院,1.5
B3J05023A,结构设计适航基础(全汉语),学院路校区,徐伟强,一般专业类,选修,航空科学与工程学院,2
